RotMat, OrthoRotMat, Quat, OrthoQuat, Total
50, 2057, 578, 450, 3135
55, 3461, 2, 1, 3519
40, 1782, 469, 518, 2809
90, 1382, 1073, 1184, 3729
152, 2885, 330, 332, 3699
11, 3207, 142, 90, 3450
44, 2539, 457, 376, 3416
19, 2550, 651, 686, 3906
41, 3476, 110, 75, 3702
23, 3410, 80, 44, 3557
100, 3563, 109, 55, 3827
32, 2312, 689, 801, 3834
57, 336, 1703, 1664, 3760
43, 2041, 608, 461, 3153
71, 2687, 352, 366, 3476
40, 392, 1405, 1606, 3443
5, 3592, 23, 0, 3620
163, 3716, 11, 0, 3890
200, 862, 1498, 1526, 4086
23, 3303, 22, 0, 3348
191, 3050, 62, 0, 3303
77, 3078, 222, 217, 3594
52, 2871, 360, 301, 3584
98, 2514, 341, 396, 3349
24, 3171, 59, 129, 3383
36, 1972, 1005, 1000, 4013
49, 3582, 4, 2, 3637
13, 3154, 84, 59, 3310
62, 3881, 18, 73, 4034
70, 3191, 134, 72, 3467
